date,ustar,cstar,qstar,tstar,zeta,std_t,std_q,std_c,std_w,std_u,std_v,rqc,rqt,rct,Fc,LE,H,Ecec,Tcec,Pcec,Rcec,statuscec,Emrea,Tmrea,Pmrea,Rmrea,statusmrea,W_const_ppm,W_const_ratio,W_linear,W_sqrt,W_opt,Efvsconst_ppm,Tfvsconst_ppm,Pfvsconst_ppm,Rfvsconst_ppm,statusfvsconst_ppm,Efvsconst_ratio,Tfvsconst_ratio,Pfvsconst_ratio,Rfvsconst_ratio,statusfvsconst_ratio,Efvslinear,Tfvslinear,Pfvslinear,Rfvslinear,statusfvslinear,Efvssqrt,Tfvssqrt,Pfvssqrt,Rfvssqrt,statusfvssqrt,Efvsopt,Tfvsopt,Pfvsopt,Rfvsopt,statusfvsopt,Ececwconst_ppm,Tcecwconst_ppm,Pcecwconst_ppm,Rcecwconst_ppm,Ececwconst_ratio,Tcecwconst_ratio,Pcecwconst_ratio,Rcecwconst_ratio,Ececwlinear,Tcecwlinear,Pcecwlinear,Rcecwlinear,Ececwsqrt,Tcecwsqrt,Pcecwsqrt,Rcecwsqrt,Ececwopt,Tcecwopt,Pcecwopt,Rcecwopt,Ecea,Tcea,Pcea,Rcea,statuscea
2025-05-17 00:00:00,0.09729767486276544,1.1117436851818352,0.03659058179728971,-0.06037530322770753,0.1669338194576117,0.7022073408228712,0.21770171134385796,14.05078073117088,0.15135895551663117,0.5046512102827583,0.3551691855537763,0.8541605316059143,-0.93120205698999,-0.9037302713454455,0.10817007561155487,8.733117935934946,-7.00198496986603,6.650369232270411,2.08226414881771,-0.08966108906672814,0.19782516198778763,OK,,,,,E>ET,-0.049337767117513025,-0.03873722647074527,-0.010664461416201825,-0.01924037275645201,-0.05170316960264363,4.641833815470675,4.0912841204642705,-0.08228896173952109,0.19045903735107594,OK,4.33068529751724,4.402432638417705,-0.06952222997822552,0.17769230558978039,OK,3.2204113489580948,5.51270658697685,-0.023966590581188846,0.1321366661927437,OK,3.614745512720575,5.118372423214371,-0.040146511752543426,0.14831658736409828,OK,4.70535462033739,4.0277633155975545,-0.08489528325546136,0.1930653588670162,OK,8.345735641676903,0.3873822942580425,-0.007791511381798261,0.11596158699335313,9.216150331540847,-0.4830323956059015,0.007627939380877469,0.1005421362306774,19.880243991238686,-11.14712605530374,0.04846233009307982,0.05970774551847505,13.321297570379466,-4.58817963444452,0.03598788684886842,0.07218218876268645,8.200218351106725,0.5328995848282201,-0.011232204490644881,0.11940228010219975,6.254354271967366,2.478763663967579,-0.08237290667998083,0.1905429822915357,OK
2025-05-17 00:30:00,0.17927264665066528,0.5890028249289079,0.026425344639551943,-0.06256111848897646,0.05090232990349658,0.27741545913906424,0.10258767138534422,3.5719385240884334,0.20527322246935037,0.7875009853300308,0.3722525842551758,0.7962362056072315,-0.9619221366193025,-0.8247308293848199,0.10559209530972376,11.62069863127826,-13.35517813508021,10.396079328320294,1.223973708589564,-0.017565823281518806,0.12315205236372538,OK,,,,,E>ET,-0.041525333684363334,-0.033935872842980955,-0.010414693878063435,-0.018020153473525143,-0.04686999301195612,4.914328342720593,6.706370288557668,-0.11352803263076108,0.21912012794048488,OK,4.559170707629107,7.0615279236491535,-0.09769225996498841,0.20328435527471217,OK,3.172604802664399,8.448093828613862,-0.03586804365192427,0.14146013896164805,OK,3.6769563516953623,7.9437422795828985,-0.05835607624631645,0.16394817155604022,OK,5.143733479734754,6.476965151543507,-0.12375675148451981,0.2293488467942436,OK,9.783097574766924,1.8376010565113372,-0.0311076221159282,0.13669971742565196,10.547293332001605,1.073405299276656,-0.014849957499076444,0.1204420528088002,19.99049807273107,-8.36979944145281,0.035535629434780835,0.07005646587494292,14.240253438233749,-2.619554806955488,0.01924369329541316,0.0863484020143106,9.393444721305576,2.227253909972685,-0.042556614429788656,0.1481487097395124,8.10028626082566,3.5204123704526,-0.09758718398278197,0.20317927929250573,OK
2025-05-17 01:00:00,0.1268696825541088,0.4011437219978951,0.012083169177815494,-0.05867108112110487,0.09552231648638715,0.3200386518019484,0.07259746711470871,1.9730521037233162,0.19226878373855774,0.563571179433489,0.4874936576221608,0.8980159951913347,-0.9687479891309572,-0.9294131230521077,0.050892976668446624,3.7604191662142683,-8.88540350797202,3.6114408145804333,0.1487694394579326,-0.0022065093830094624,0.053096658663863386,OK,,,,,E>ET,-0.045005659874423454,-0.03665495343513225,-0.010443294362455913,-0.018711841458003742,-0.024523457128441305,,,,,13b not satisfied,,,,,13b not satisfied,,,,,13b not satisfied,,,,,13b not satisfied,,,,,13b not satisfied,3.281465069055693,0.4789540971585753,-0.008787462369417201,0.059680439037863825,3.598821519058553,0.16159764715571523,-0.0024147387817854207,0.053307715450232045,7.891696465225105,-4.131277299010836,0.017588318355687707,0.03330465831275892,5.2389296614021745,-1.4785104951879062,0.011278293509967674,0.03961468315847895,4.444925859684362,-0.6845066934700941,0.006843241154278416,0.04404973551416821,2.812837875616156,0.9475812905981117,-0.02475403027220397,0.0756470069406506,OK
2025-05-17 01:30:00,0.08377067948436949,-1.6339512828043645,-0.025188673863279127,0.05818556269498429,-0.21788701908824573,0.45377036096659695,0.18927651306124021,12.873876020366026,0.08447769278256537,0.2449902290018715,0.4571868018020733,0.9896294306327769,-0.9464766094591643,-0.9566552081866023,-0.13687720920487878,-5.176007412825334,5.835142780245526,-5.1757198568579525,0.0,0.0,-0.13686960491547853,OK,-5.176007412825334,0.0,0.0,-0.13687720920487878,OK,-0.045860067337335796,-0.038716461534275055,-0.010243429851208298,-0.01921185721019366,-0.0520868120905481,-3.7643169199678344,-1.4116904928574998,0.026392262968577856,-0.1632694721734566,OK,-3.694821078200938,-1.481186334624397,0.023378024357757488,-0.16025523356263624,OK,-3.3332395981800444,-1.8427678146452895,0.0076951744155659965,-0.14457238362044475,OK,-3.4648159019349634,-1.711191510890371,0.013402024853861091,-0.15027923405873983,OK,-3.819782606001787,-1.3562248068235478,0.02879797255016623,-0.165675181755045,OK,-4.16477141636993,-1.0112359964554045,0.018905564978142136,-0.15578277418302092,-4.61495239921082,-0.5610550136145145,0.00885530568822604,-0.14573251489310482,-12.648227975126778,7.472220562301444,-0.031203084860452965,-0.10567412434442582,-7.549033716652961,2.3730263038276265,-0.018585504486412552,-0.11829170471846623,-3.873096818565315,-1.3029105942600192,0.0276659026881394,-0.16454311189301818,,,,,Not enough points
2025-05-17 02:00:00,0.07995905419037527,0.20723651029929088,-0.0010841851491102325,-0.04221185621246167,0.1739799354067837,0.35217470939651835,0.10445492185149294,12.720332830345622,0.0425467871477164,0.35714135584746337,0.4155158567089959,0.877070267354311,-0.19302355096684912,-0.5045597444797725,0.016570435357245263,-0.212651598028028,-4.050772744858687,-0.20719161309845635,-0.0054481709519033075,-0.00019471808228793805,0.01676423285979117,OK,,,,,E>ET,-0.07311889406314895,-0.05657662534239574,-0.0107787731474242,-0.023187263905014733,-0.07253558849775782,-0.055426922025561695,-0.15722467600246628,0.046803388626297855,-0.030232953269052544,OK,-0.05969188673817861,-0.1529597112898494,0.3594503300952975,-0.3428798947380522,Small ratioRP,-0.06527154337372597,-0.14738005465430204,-0.002992712667496113,0.019563148024741427,OK,-0.06494956840514479,-0.1477020296228832,-0.008851107457569868,0.02542154281481518,OK,-0.0555926289121925,-0.1570589691158355,0.047953936006473206,-0.031383500649227895,OK,,,,,,,,,,,,,,,,,,,,,,,,,Not enough points
2025-05-17 02:30:00,0.06513031547161559,0.9923591427410572,0.0023436734904540893,-0.08516799618571286,0.5300177923416091,0.4083054590812469,0.08085745066002605,6.449200014178145,0.06249808441506493,0.3136142510415574,0.3346673815092222,0.6987302547708624,-0.526454466065606,-0.6929619557225377,0.06463266402786706,0.3744362073809435,-6.666746226586228,0.3428174403860171,0.03159689712311137,-0.006312140898683518,0.07093815663046889,OK,,,,,E>ET,-0.07813622794994698,-0.05979941075975557,-0.010850813578892863,-0.023818563761515508,-0.060774941267582656,,,,,13b not satisfied,,,,,13b not satisfied,,,,,13b not satisfied,,,,,13b not satisfied,,,,,13b not satisfied,1.1806080912831163,-0.8061718839021728,0.025679262163643843,0.03895340186422322,1.486230087841566,-1.1117938804606224,0.027103391332184,0.03752927269568306,7.361002443845166,-6.986566236464222,0.030904984830191752,0.03372767919767531,3.453522455792399,-3.079086248411455,0.02989784432735175,0.03473481970051531,1.465326087548999,-1.0908898801680555,0.027027626741383558,0.037605037286483504,0.25965248491871457,0.11478372246222898,-0.04262671818620306,0.10725938221407011,OK
2025-05-17 03:00:00,0.04784722700888327,0.02722870490437259,0.006459017405809292,-0.005146065262030753,0.05953764889839754,0.8530849981346799,0.06557082556767128,15.009322283092244,0.08028859878918475,0.4189822388968909,0.3695268696311842,0.3656917600878338,-0.4159226445417377,-0.9583330847726397,0.0013028180247174085,0.7580900147879197,-0.2968285504965642,0.4478234716707691,0.3102256641497214,-0.0008902059493562013,0.002192893953174938,OK,,,,,E>ET,-0.09569278434615058,-0.0743816365374936,-0.01074119691896013,-0.026520844691277797,-0.11457072085167265,0.10093329290568659,0.6571567218822331,-0.025636019758948192,0.02693883778366562,Small ratioRP,0.0817245043033688,0.6763655104845508,-0.02050924319908603,0.021812061223803456,Small ratioRP,0.01703924637195147,0.7410507684159682,-0.0032449132615175887,0.004547731286235015,OK,0.034204795584110985,0.7238852192038087,-0.00782635445283969,0.009129172477557115,Small ratioRP,0.11705995906592455,0.641030055721995,-0.029940185720202624,0.03124300374492005,Small ratioRP,0.2924426838010125,0.4656473309869072,-0.018165140491435264,0.019467958516152673,0.29597809895585814,0.46211191583206157,-0.01401249105709957,0.015315309081816978,0.390035562241515,0.36805445254640473,-0.001611636914676314,0.0029144549393937224,0.32462682382610525,0.43346319096181446,-0.004686428849116988,0.0059892468738343965,0.2904094834178418,0.4676805313700779,-0.021843659032761156,0.023146477057478566,0.4795334525350682,0.27855656225285136,-0.0074059602158759895,0.008708778240593396,OK
2025-05-17 03:30:00,0.030307475110859076,0.1955564143199157,-0.006536335983757606,0.025546021891676846,-0.7365376386480222,0.42523898348739525,0.04725461125097439,6.561838284821489,0.06879172552940649,0.197816885508615,0.2313087270319444,0.6634106676627023,-0.657401222666078,-0.8382349811269124,0.00592682115976969,-0.4859389078731,0.9331032375380534,-0.38584341698843816,-0.10006148290149956,-0.0010828671333470606,0.007012892007451482,OK,,,,,E>ET,-0.08695367993377597,-0.06835050737793534,-0.010669344276357882,-0.025429463622477978,-0.09134482217764697,-0.10359525222565226,-0.38234365564744777,0.013553276745975545,-0.007626455586205868,OK,-0.07502231092842389,-0.41091659694467614,0.011449799384909566,-0.00552297822513989,OK,-0.03468549527695088,-0.45125341259614915,-0.01054030218870172,0.016467123348471398,OK,-0.009825344680065665,-0.4761135631930344,0.006990184537112777,-0.0010633633773431002,OK,-0.10976937659145596,-0.3761695312816441,0.01400780225991463,-0.008080981100144954,OK,-0.11895569676310921,-0.36698321110999077,0.013008781361568477,-0.007081960201798788,-0.10197231049277503,-0.383966597380325,0.01069886332944339,-0.0047720421696737,,,,,,,,,-0.12195536059414726,-0.36398354727895277,0.013554020546997598,-0.007627199387227908,-0.345767570967103,-0.1401713369059971,-0.013350332349352092,0.019277153509121785,OK
2025-05-17 04:00:00,0.12291099750581015,-1.8494055948602852,0.0009539045657226249,0.05866816604233749,-0.1030566881716517,0.40955362833407666,0.032573321294880685,10.89944082709596,0.05413956422600239,0.7538109453075903,0.383695620429636,-0.022545181042771697,0.25721838915010037,-0.8870859785623212,-0.22731228645710386,0.28760287224596537,8.708612191261745,0.0436992812206511,0.24390033489807397,-0.2601471502965179,0.03284705023360863,OK,0.23522695289756881,0.052375919348396555,-0.25771492431843057,0.030402637861326697,OK,-0.10408968242308324,-0.08478775877858878,-0.010442382684835405,-0.028291026822072508,-0.07942060377693196,,,,,rET < 0,,,,,rET < 0,,,,,rET < 0,,,,,rET < 0,,,,,rET < 0,,,,,,,,,,,,,,,,,,,,,,,,,unrealistic fluxes
2025-05-17 04:30:00,0.04284615190769038,-0.7360002987822994,0.039028342735868346,0.08709515892818238,-1.2555224667130236,0.6203865715690762,0.18148592949758116,11.779279516874924,0.0699268362796938,0.25361344275027947,0.3830106322096755,-0.6923258484126954,0.9174094679553815,-0.8214821406338128,-0.03153478060573191,4.101941681742427,4.495398326384261,0.0,4.1017137960934384,-0.03153302867347605,0.0,OK,0.0,4.101941681742427,-0.03153478060573191,0.0,OK,-0.13188504210694937,-0.10437675896144047,-0.010608895651050823,-0.031405463622740375,,,,,,13a not satisfied,,,,,13a not satisfied,,,,,13a not satisfied,,,,,13a not satisfied,,,,,13a not satisfied,0.0,4.101941681742427,-0.03153478060573191,0.0,0.0,4.101941681742427,-0.03153478060573191,0.0,,,,,0.0,4.101941681742427,-0.03153478060573191,0.0,0.0,4.101941681742427,-0.03153478060573191,0.0,,,,,Not enough points
