# Source:, PartitioningMethods
# RunDate:, 2026-07-26 23:36:51
# argsQC:, {'physical_bounds': True, 'despike': True, 'coord_rotation': True, 'density_correction': True, 'fluctuations': 'LD', 'filtercut': 5, 'maxGapsInterpolate': 5, 'RemainingData': 95, 'saveprocessed': True, 'time_lag_correction': True, 'max_lag_seconds': 5, 'saveplotlag': True, 'type_lag': 'both', 'UnitBorders': {'Ts': (0, 70), 'co2': (200, 1500), 'h2o': (0, 50), 'P': (60, 150)}, 'PhysicalBounds': {'u': (-20, 20), 'v': (-20, 20), 'w': (-20, 20), 'Ts': (-10, 50), 'co2': (0, 1500), 'h2o': (0, 40), 'P': (60, 150)}, 'outfolder': '../results/'}
# siteDetails:, {'hi': 2.5, 'zi': 4.0, 'freq': 20, 'length': 30, 'PreProcessing': True, 'ppath': 'C3'}

u,v,w,Ts,co2,h2o,Tair,P,u_p,v_p,w_p,co2_p,h2o_p,Ts_p,rho_moist_air,rho_dry_air,T,Tv,T_p,Tv_p,num_idx
3.2765624172622965,0.04416783326878698,-1.1568070022115355,28.59757,699.1473,12.66621,25.67563,101.1116,0.8266363522965459,0.024440904080708974,-1.1282608706378745,-5.941116785088445,1.0561744175747116,1.1809591638020436,1.1675495066317725,1.1548832966317726,26.937260265823,28.92312092827001,1.0389608403451653,1.2088019723230055,0
3.358705576415817,-0.3055364792402954,-0.8135362721831663,28.41228,699.3375,12.64548,25.67563,101.1112,0.9087868162890929,-0.3252623124574193,-0.7849917265497576,-6.201637607037842,1.0278007485184673,0.9956349744973885,1.1682622665958529,1.1556167865958529,26.756695669749945,28.736904378480403,0.8583640657869509,1.0225508389504157,1
3.4945027496836114,-0.4456120449165665,-0.7299364748501035,28.44868,700.1301,12.60233,25.67563,101.1112,1.044591294395914,-0.46533678216273633,-0.7013935151569473,-5.3516735952750345,0.9856035544988596,1.0320007851927393,1.1681212688086473,1.1555189388086473,26.798316836471486,28.772280620299796,0.8999530540233316,1.057892497186824,2
3.461062835663269,-0.5110783270147718,-0.6003101033147934,28.51425,699.2944,12.66997,25.67563,101.1112,1.0111586852145975,-0.5308019682899876,-0.5717687295618896,-5.987447221486243,1.056608425758518,1.0975365958880872,1.1678673649682165,1.1551973949682166,26.854358107422968,28.839718998544527,0.9559621464896502,1.1252962918485743,3
2.970144183526912,-0.36199041770880774,-0.5756797065441505,28.52882,699.2328,12.65578,25.67563,101.1112,0.520247337917267,-0.3817129630130694,-0.547139918731499,-6.023904500466011,1.0428260678152144,1.1120724065834366,1.167810961182536,1.155155181182536,26.87061719409195,28.85395780508003,0.9721890546734713,1.1395005148010924,4
2.5974528001765607,-0.2925119636375386,-0.6903532246642835,28.46965,700.2473,12.5867,25.67563,101.1112,0.1475632594059424,-0.31223341297084617,-0.6618150227918845,-5.19476094448321,0.9705921967201485,1.0528682172787853,1.1680400555885972,1.1554533555885973,26.82109391125067,28.79289629191163,0.9226335933470331,1.0784044180497112,5
2.2893641215634344,-0.06720221998840625,-0.383221570596195,28.38388,700.4471,12.58279,25.67563,101.1112,-0.16051811436815733,-0.08692257335075974,-0.3546849546640485,-5.199704842631377,0.9632003021250607,0.967064027974132,1.1683722994995231,1.1557895094995232,26.736767829719838,28.70684317064314,0.8382753333310404,0.9923167131982353,6
2.750450733418698,0.20039490067596008,-0.13153827017985067,28.41472,700.2688,12.59967,25.67563,101.1112,0.3005758023261329,0.18067564328456068,-0.10300324018795658,-5.29379269517344,0.981487361633544,0.9978698386694802,1.1682528140314732,1.1556531440314732,26.765073822793,28.738180034746506,0.8665491479190415,1.0236189937186175,7
2.6701604598883097,-0.18254513074354428,-0.02154217336669473,28.40741,700.5634,12.56514,25.67563,101.1112,0.22029283363477115,-0.2022632921639896,0.006991270684946933,-5.039212485810101,0.9462624950782629,0.9905256493648267,1.1682811334419314,1.1557159934419314,26.76233963299171,28.729972817060457,0.8637827796325901,1.0153771924495878,8
2.661866262257191,-0.5808645305791054,0.11852943352024224,28.4205,700.0573,12.62629,25.67563,101.1112,0.21200594084267843,-0.6005815960285966,0.14706129163163148,-5.473506092365463,1.0086096570507208,1.0035814600601753,1.1682304229114362,1.1556041329114362,26.767324435964667,28.74465207137945,0.8687354041203861,1.0300218631855955,9
2.8831744720723127,-0.3861272241740528,0.20660964023130785,28.08786,701.7462,12.44142,25.67563,101.1112,0.43332145549682677,-0.40584319365259,0.23513991240244464,-4.692352710857502,0.8083633996738014,0.6709072707555244,1.1695204339607688,1.1570790139607687,26.462341145249297,28.406589187205952,0.5637199349198561,0.6919243954291154,10
2.8667776131270744,-0.45796965514114546,0.26859255455508313,27.97596,703.7689,12.34562,25.67563,101.1112,0.416931901390615,-0.4776845286487285,0.29712124078596747,-2.997335902301571,0.7070014497499254,0.5589730814508727,1.1699550339419864,1.1576094139419864,26.364085731583316,28.292013778120975,0.4654323427687146,0.5773144027611536,11
2.759109175059589,-0.26959550086137446,0.289117671917211,28.20271,702.0219,12.43455,25.67563,101.1112,0.30927076816215626,-0.2893092783980034,0.31764477220784293,-4.149800702747163,0.8059728535389006,0.7856888921462222,1.169074712328332,1.156640162328332,26.57684819249215,28.521506432844717,0.6781626251923853,0.806772473901912,12
2.3467155543120657,-0.2934021395312787,0.4570702274425383,28.12639,701.8264,12.42334,25.67563,101.1112,-0.10311554774634057,-0.3131148210969536,0.48559574179291776,-4.532640636725835,0.7915754230442822,0.70933470284157,1.1693708649144834,1.1569475249144834,26.502806505216427,28.444739704859558,0.6040887594315016,0.7299711623337686,13
2.248657459264117,-0.9565428099101138,0.7362293292306883,28.07323,702.3264,12.4506,25.67563,101.1112,-0.20116633795526306,-0.9762543955048345,0.7647532576408154,-4.139698959628578,0.8170063067911547,0.6561405135369149,1.1695772359675356,1.1571266359675356,26.446675796438967,28.392162196776667,0.5479258721688822,0.6773590706678974,14
2.370479259076918,-0.4881493025185397,0.5709903394665005,28.35706,700.6584,12.51518,25.67563,101.1112,-0.07933723330343545,-0.5078597921423065,0.5995126819363751,-5.094769079183998,0.8936308739324109,0.9399363242322671,1.168476229885341,1.155961049885341,26.71904066215859,28.67824026232188,0.8202585594033458,0.9634025526301251,15
2.441314624520272,-0.3620687119983489,0.16963075239636907,28.52738,700.3483,12.57524,25.67563,101.1112,-0.00849456302105489,-0.3817781056511615,0.19815150892599126,-4.9628293971673605,0.9611521497137554,1.1102221349276142,1.1678165355076118,1.1552412955076117,26.879687866145275,28.85045688899112,0.9808735849048702,1.1355845957163808,16
2.068654021827537,-0.3394112274668479,-0.10793164355342803,28.42116,699.7721,12.5675,25.67563,101.1112,-0.3811478608747634,-0.35911952514870643,-0.07941247296405826,-5.794571876240497,0.9490707751581533,1.0039679456229642,1.1682278661945436,1.1556603661945435,26.775632698361733,28.7438124120859,0.8767862386361642,1.02890553522818,17
